ipa	etymological_group
k o n l ɑ n	sino
k o n jo k	sino
k o n tɕʰ u ŋ	sino
k o n h o k	sino
k o l	native
k o l k jʌ k	sino
k o l m o k	native
k o l m o l	sino
k o l p ɑ n	sino
k o l s u	sino
k o l tɕ ɑ	sino
k o l tɕʰ i	native
k o l pʰ ɯ	loan
k o m	native
k o p	native
k o ŋ k ɑ n	sino
k o ŋ k ɑ m	sino
k o ŋ k jʌ k	sino
k o ŋ k jʌ ŋ	sino
k o ŋ k o	sino
k o ŋ k o ŋ	sino
k o ŋ k wa n	sino
k o ŋ k jo	sino
k o ŋ k u n	sino
k o ŋ k ɯ p	sino
k o ŋ k i	sino
k o ŋ t ɑ n	sino
k o ŋ t o ŋ	sino
k o ŋ l ja k	sino
k o ŋ l o	sino
k o ŋ l o n	sino
k o ŋ l jo ŋ	sino
k o ŋ l i p	sino
k o ŋ m o	sino
k o ŋ m u	sino
k o ŋ m u n	sino
k o ŋ p ɑ ŋ	sino
k o ŋ p ɛ k	sino
k o ŋ p ʌ m	sino
k o ŋ p ʌ p	sino
k o ŋ p o	sino
k o ŋ p u	sino
k o ŋ p i	sino
k o ŋ s ɑ	sino
k o ŋ s ɑ n	sino
k o ŋ s ɑ ŋ	sino
k o ŋ s ɛ ŋ	sino
k o ŋ s ɛ	sino
k o ŋ s o	sino
k o ŋ s o n	sino
k o ŋ s ɯ p	sino
k o ŋ s i	sino
k o ŋ s i k	sino
k o ŋ ɑ n	sino
k o ŋ ja k	sino
k o ŋ ʌ n	sino
k o ŋ ʌ p	sino
k o ŋ jʌ n	sino
k o ŋ jʌ ŋ	sino
k o ŋ wʌ n	sino
k o ŋ ju	sino
k o ŋ i k	sino
k o ŋ i n	sino
k o ŋ tɕ ɑ	sino
k o ŋ tɕ ɑ k	sino
k o ŋ tɕ ɑ ŋ	sino
k o ŋ tɕ ʌ ŋ	sino
k o ŋ tɕ ɛ	sino
k o ŋ tɕ o	sino
k o ŋ tɕ o n	sino
k o ŋ tɕ u	sino
k o ŋ tɕ u ŋ	sino
k o ŋ tɕ i k	sino
k o ŋ tɕ* ɑ	mix
k o ŋ tɕʰ ɛ k	sino
k o ŋ tɕʰ ʌ n	sino
k o ŋ tʰ o ŋ	sino
k o ŋ pʰ ɑ n	sino
k o ŋ pʰ jʌ ŋ	sino
k o ŋ pʰ o	sino
k o ŋ pʰ jo	sino
k o ŋ h ɑ k	sino
k o ŋ h ɑ ŋ	sino
k o ŋ h ɛ	sino
k o ŋ h ʌ	sino
k o ŋ h ʌ n	sino
k o ŋ h wa ŋ	sino
k wa	sino
k wa k ʌ	sino
k wa k jʌ k	sino
k wa t ɑ	sino
k wa t o	sino
k wa m o k	sino
k wa m i n	sino
k wa p u	sino
k wa s ɛ	sino
k wa s i	sino
k wa s i l	sino
k wa ʌ n	sino
k wa jʌ l	sino
k wa o	sino
k wa wɛ	sino
k wa i l	native
k wa i ŋ	sino
k wa tɕ ɑ	sino
k wa tɕ ɑ ŋ	sino
k wa tɕ ʌ ŋ	sino
k wa tɕ ɛ	sino
k wa h ɑ k	sino
k wa n	sino
k wa n k ɛ k	sino
k wa n k ʌ n	sino
k wa n k jɛ	sino
k wa n k wa ŋ	sino
k wa n k wʌ n	sino
k wa n n ɛ	sino
k wa n n jʌ m	sino
k wa n n ɯ ŋ	sino
k wa n t ɛ	sino
k wa n l ɑ m	sino
k wa n l jʌ n	sino
k wa n l jɛ	sino
k wa n l jo	sino
k wa n l i	sino
k wa n m u n	sino
k wa n s ɛ	sino
k wa n s ɯ p	sino
k wa n s i m	sino
k wa n ɑ	sino
k wa n jʌ	sino
k wa n jʌ ŋ	sino
k wa n jo ŋ	sino
k wa n tɕ ɑ ŋ	sino
k wa n tɕ ʌ l	sino
k wa n tɕ ʌ m	sino
k wa n tɕ u ŋ	sino
k wa n tɕ i k	sino
k wa n tɕʰ ɑ l	sino
k wa n tɕʰ ʌ l	sino
k wa n tɕʰ ʌ ŋ	sino
k wa n tɕʰ ɯ k	sino
k wa n tʰ o ŋ	sino
k wa n h ɑ	sino
k wa n h ɑ l	sino
k wa n h ɛ ŋ	sino
k wa ŋ k jʌ ŋ	sino
k wa ŋ k o	sino
k wa ŋ t ɛ	native
k wa ŋ m u l	sino
k wa ŋ p o k	sino
k wa ŋ s ɑ n	sino
k wa ŋ s ʌ n	sino
k wa ŋ jʌ k	sino
k wa ŋ tɕ ɑ ŋ	sino
k wa ŋ tɕ u	sino
k wɛ l o u m	native
k wɛ m u l	sino
k wɛ s ɑ ŋ	sino
k jo	sino
k jo k ɑ m	sino
k jo k wa	sino
k jo k u	sino
k jo n ɛ	sino
k jo t ɑ n	sino
k jo t ɛ	sino
k jo l ɑ n	sino
k jo l ja ŋ	sino
k jo l ju	sino
k jo l i	sino
k jo m u	sino
k jo m u n	sino
k jo m i n	sino
k jo p o k	sino
k jo p u	sino
k jo s ɑ	sino
k jo s ʌ p	sino
k jo s u	sino
k jo s i l	sino
k jo ja ŋ	sino
k jo jʌ k	sino
k jo wɛ	sino
k jo wʌ n	sino
k jo ju k	sino
k jo tɕ ɑ ŋ	sino
k jo tɕ ɛ	sino
k jo tɕ ʌ n	sino
k jo tɕ ʌ ŋ	sino
k jo tɕ ɛ	sino
k jo tɕ i k	sino
k jo tɕʰ ɑ	sino
k jo tɕʰ ɛ	sino
k jo tʰ o ŋ	sino
k jo pʰ o	sino
k jo h o	sino
k jo h wa	sino
k jo h wa n	sino
k jo h wa l	sino
k jo h wa ŋ	sino
k jo h wɛ	sino
k jo h u n	sino
k u	sino
k u k ɑ	sino
k u k ɑ n	sino
k u k ʌ l	sino
k u k jʌ ŋ	native
k u k u k	sino
k u k ɯ m	sino
k u n ɛ	sino
k u n o	native
k u t ɑ n	sino
k u t ʌ ŋ i	native
k u t o	sino
k u t u	native
k u l ʌ ŋ i	native
k u l ɯ ŋ	sino
k u l i	native
k u m ɛ	sino
k u m ʌ ŋ	native
k u m jʌ ŋ	sino
k u m i	sino
k u p jʌ l	sino
k u p u n	sino
k u p i	sino
k u s ɑ	sino
k u s ɑ ŋ	sino
k u s ʌ k	native
k u s ʌ ŋ	sino
k u s o k	sino
k u s u	sino
k u s ɯ l	native
k u s i k	sino
k u ɛ	sino
k u jʌ k	sino
k u wʌ n	sino
k u i	native
k u i p	sino
k u tɕ ʌ l	sino
k u tɕ ɛ	sino
k u tɕ o	sino
k u tɕʰ ɑ	sino
k u tɕʰ ʌ ŋ	sino
k u tɕʰ ɛ	sino
k u tɕʰ u k	sino
k u tɕʰ u l	sino
k u tʰ o	sino
k u h jʌ n	sino
k u h jʌ ŋ	sino
k u h o	sino
k u k	native
k u k k ɑ	sino
k u k k ɑ m	sino
k u k k jʌ ŋ	sino
k u k k o	sino
k u k k jo	sino
k u k k u n	sino
k u k k i	sino
k u k n ɛ	sino
k u k t o	sino
k u k l jʌ k	sino
k u k l i p	sino
k u k m jʌ n	sino
k u k m u	sino
k u k m u n	sino
k u k m i n	sino
k u k p ɑ ŋ	sino
k u k s ɑ n	sino
k u k s u	native
k u k ɑ k	sino
k u k ʌ	sino
k u k jʌ ŋ	sino
k u k wa ŋ	sino
k u k ju	sino
k u k i k	sino
k u k tɕ ɑ ŋ	sino
k u k tɕ ʌ k	sino
k u k tɕ ʌ ŋ	sino
k u k tɕ ɛ	sino
k u k tɕʰ ɛ k	sino
k u k tʰ o	sino
k u k h ɑ n	sino
k u k h wa	sino
k u k h wɛ	sino
k u n	sino
k u n l i m	sino
k u n p o k	sino
k u n p u	sino
k u n p i	sino
k u n s ɑ	sino
k u n s ɑ n	sino
k u n s u	sino
k u n i n	sino
k u n tɕ ɑ	sino
k u n tɕ ʌ ŋ	sino
k u n tɕ u	sino
k u n tɕ u ŋ	sino
k u n tɕʰ ʌ ŋ	sino
k u n tɕʰ u k	sino
k u n h ɑ m	sino
k u n h jʌ n	sino
k u l	native
k u l k o k	sino
k u l t* u k	native
k u l l ɛ	native
k u l p o k	sino
k u l jo k	sino
k u l tɕ ʌ l	sino
k u l m tɕ u l i m	native
k u p	native
k u s	native
k u ŋ k wʌ l	sino
k u ŋ k ɯ k	sino
k u ŋ k ɯ m	sino
k u ŋ t u ŋ i	native
k u ŋ l i	sino
k u ŋ tɕ ʌ n	sino
k u ŋ tɕ u ŋ	sino
k u ŋ tɕ i	sino
k u ŋ pʰ i p	sino
k wʌ n	sino
k wʌ n k o	sino
k wʌ n l jʌ k	sino
k wʌ n l i	sino
k wʌ n s ɛ	sino
k wʌ n wi	sino
k wʌ n ju	sino
k wʌ n i k	sino
k wʌ n tɕ ɑ ŋ	sino
k wʌ n tɕʰ o ŋ	sino
k wʌ n tʰ ɛ	sino
k wʌ n tʰ u	sino
k wʌ n h ɑ n	sino
k wɛ t o	sino
k wi	native
k wi k ɑ	sino
k wi k u k	sino
k wi n ɑ p	sino
k wi s o k	sino
k wi s u n	sino
k wi s i n	sino
k wi tɕ o k	sino
k wi tɕ u ŋ	sino
k wi tʰ u ŋ i	native
k wi h ɑ	sino
k wi h ja ŋ	sino
k wi h wa n	sino
k ju k jʌ k	sino
k ju m jʌ ŋ	sino
k ju m o	sino
k ju p ʌ m	sino
k ju ja k	sino
k ju ju l	sino
k ju tɕ ʌ ŋ	sino
k ju tɕ ɛ	sino
k ju tɕʰ i k	sino
k ju tʰ ɑ n	sino
k ju n	sino
k ju n t ɯ ŋ	sino
k ju n jʌ l	sino
k ju n h jʌ ŋ	sino
k ɯ	native
k ɯ n ɛ	native
k ɯ n ɯ l	native
k ɯ l ɛ pʰ i k	loan
k ɯ l u	loan
k ɯ l u p	loan
k ɯ l ɯ s	native
k ɯ l i s ɯ	loan
k ɯ l i s ɯ t o	loan
k ɯ l i u m	native
k ɯ l i m	native
k ɯ l i m tɕ ɑ	native
k ɯ l i p	loan
k ɯ m u l	native
k ɯ tɕ ɛ	native
k ɯ k	sino
k ɯ k t ɑ n	sino
k ɯ k t ɛ	sino
k ɯ k t o	sino
k ɯ k t o ŋ	sino
k ɯ k m jʌ ŋ	sino
k ɯ k p o k	sino
k ɯ k s ʌ ŋ	sino
k ɯ k u	sino
k ɯ k tɕ ɑ ŋ	sino
k ɯ k tɕʰ i	sino
k ɯ k h ɑ n	sino
k ɯ n	sino
k ɯ n k ɑ n	sino
k ɯ n k ʌ	sino
k ɯ n k jo	sino
k ɯ n l ɛ	sino
k ɯ n l o	sino
k ɯ n m jʌ n	sino
k ɯ n m u	sino
k ɯ n p ɑ ŋ	sino
k ɯ n p o n	sino
k ɯ n s ɑ	sino
k ɯ n s ɛ	sino
k ɯ n s i m	native
k ɯ n wʌ n	sino
k ɯ n ju k	sino
k ɯ n tɕ ʌ l	sino
k ɯ n tɕ ʌ p	sino
k ɯ n tɕʰ ʌ	sino
k ɯ l	native
k ɯ l s* i	native
k ɯ m k o	sino
k ɯ m k i	sino
k ɯ m n jʌ n	sino
k ɯ m t ɑ ŋ	sino
k ɯ m l i	sino
k ɯ m p ɑ ŋ	sino
k ɯ m s ʌ ŋ	sino
k ɯ m s ɛ	sino
k ɯ m s o k	sino
k ɯ m s u n	sino
k ɯ m ɛ k	sino
k ɯ m jʌ n	sino
k ɯ m ju ŋ	sino
k ɯ m tɕ ʌ n	sino
k ɯ m tɕ i	sino
k ɯ m pʰ u m	sino
k ɯ p	sino
k ɯ p k jʌ k	sino
k ɯ p t ɯ ŋ	sino
k ɯ p l ɑ k	sino
k ɯ p p jʌ n	sino
k ɯ p s ʌ ŋ	sino
k ɯ p s o k	sino
k ɯ p s i k	sino
k ɯ p jʌ	sino
k ɯ p tɕ ɛ	sino
k ɯ p tɕ ɯ ŋ	sino
k ɯ p tɕ i n	sino
k ɯ ŋ tɕ ʌ ŋ	sino
k ɯ ŋ tɕ i	sino
k i k ɑ k	sino
k i k ɑ n	sino
k i k ʌ	sino
k i k o	sino
k i k wa n	sino
k i k jo	sino
k i k u	sino
k i k ɯ m	sino
k i k i	sino
k i n jʌ m	sino
k i n ɯ ŋ	sino
k i t ɑ n	sino
k i t o	sino
k i t o ŋ	sino
k i t ɯ k	sino
k i l ja ŋ	sino
k i l ʌ k i	native
k i l jʌ k	sino
k i l o k	sino
k i l ju	sino
k i l ɯ m	native
k i l i	sino
k i m ɑ n	sino
k i m jo	sino
k i m i	sino
k i m i l	sino
k i p ɑ n	sino
k i p ɑ l	sino
k i p ʌ p	sino
k i p o n	sino
k i p u	sino
k i p u n	sino
k i p* ɯ m	native
k i s ɑ	sino
k i s ɑ ŋ	sino
k i s ɛ k	sino
k i s ɛ ŋ	sino
k i s ʌ ŋ	sino
k i s ɛ	sino
k i s o	sino
k i s u l	sino
k i s ɯ l k	native
k i s ɯ p	sino
k i s ɯ ŋ	sino
k i ɑ	sino
k i ja k	sino
k i ʌ k	sino
k i ʌ p	sino
k i o n	sino
k i wa	native
k i wa ŋ	sino
k i jo ŋ	sino
k i u n	native
k i wʌ n	sino
k i i	sino
k i i n	sino
k i tɕ ɑ	sino
k i tɕ ɛ	sino
k i tɕ ʌ k wi	native
k i tɕ ʌ k	sino
k i tɕ ʌ l	sino
k i tɕ ʌ m	sino
k i tɕ ɛ	sino
k i tɕ o	sino
k i tɕ o n	sino
k i tɕ o ŋ	sino
k i tɕ u n	sino
k i tɕ ɯ ŋ	sino
k i tɕ i	sino
k i tɕ i k ɛ	native
k i tɕ i l	sino
k i tɕʰ ɑ	sino
k i tɕʰ ʌ k	native
k i tɕʰ ɛ	sino
k i tɕʰ o	sino
k i tɕʰ i m	native
k i tʰ ɯ l	native
k i pʰ i	sino
k i h ɑ n	sino
k i h ɛ ŋ	sino
k i h jʌ ŋ	sino
k i h o	sino
k i h wɛ	sino
k i h wɛ k	sino
k i h u	sino
k i n k ɯ p	sino
k i n p ɑ k	sino
k i n tɕ ɑ ŋ	sino
k i l i l	sino
k i m tɕ ɑ ŋ	native
k i m tɕʰ i	native
