ipa	etymological_group
m i ɑ n	sino
m i ja k	sino
m i jʌ k	native
m i jo ŋ	sino
m i u m	native
m i i n	sino
m i tɕ u	sino
m i tʰ ʌ	loan
m i h ɑ k	sino
m i h ɛ ŋ	sino
m i h o n	sino
m i h ɯ p	sino
m i n	sino
m i n k ɑ n	sino
m i n k ɑ m	sino
m i n t ɑ m	sino
m i n t ɯ l l ɛ	native
m i n m ɑ ŋ	sino
m i n p ɑ k	sino
m i n p ʌ p	sino
m i n s ɑ	sino
m i n s ɛ ŋ	sino
m i n s i m	sino
m i n jʌ ŋ	sino
m i n jo	sino
m i n wʌ n	sino
m i n i	sino
m i n tɕ ɑ	sino
m i n tɕ ʌ ŋ	sino
m i n tɕ o k	sino
m i n tɕ u	sino
m i n tɕ u ŋ	sino
m i l t o	sino
m i l s u	sino
m i l s i l	sino
m i l tɕ ʌ p	sino
m i l tɕ i p	sino
m i l tɕʰ ɑ k	sino
m i l tɕʰ i	native
m i l pʰ jɛ	sino
p i ɯ p	native
p ɑ	loan
p ɑ k ɑ tɕ i	native
p ɑ k u n i	native
p ɑ k* ɑ tʰ	native
p ɑ n ɑ n ɑ	loan
p ɑ n ɯ l	native
p ɑ t ɑ	native
p ɑ t u k	native
p ɑ l ɑ	native
p ɑ l ɑ m	native
p ɑ l ɛ	native
p ɑ l o	native
p ɑ l i t ɛ k i	native
p ɑ p o	native
p ɑ wi	native
p ɑ i l ʌ s ɯ	loan
p ɑ i o l l i n	loan
p ɑ tɕ i	native
p ɑ kʰ wi	native
p ɑ k s ɑ	sino
p ɑ k s ɑ l	native
p ɑ k s u	sino
p ɑ k s ɯ	loan
p ɑ k tɕ ɑ	sino
p ɑ k tɕʰ ɑ	sino
p ɑ k tʰ ɑ l	sino
p ɑ k h ɛ	sino
p ɑ k*	native
p ɑ n k ɑ m	sino
p ɑ n k jʌ k	sino
p ɑ n k o ŋ	sino
p ɑ n k u n	sino
p ɑ n k i	sino
p ɑ n n ɑ p	sino
p ɑ n t o	sino
p ɑ n t o ŋ	sino
p ɑ n l ɑ n	sino
p ɑ n l o n	sino
p ɑ n m jʌ n	sino
p ɑ n m u n	sino
p ɑ n p ɑ k	sino
p ɑ n p ɑ l	sino
p ɑ n p o k	sino
p ɑ n s ɑ	sino
p ɑ n s ʌ ŋ	sino
p ɑ n jʌ ŋ	sino
p ɑ n ɯ ŋ	sino
p ɑ n i p	sino
p ɑ n tɕ ɑ ŋ	sino
p ɑ n tɕ ʌ n	sino
p ɑ n tɕ ʌ m	sino
p ɑ n tɕ u	sino
p ɑ n tɕ u k	native
p ɑ n tɕ ɯ ŋ	sino
p ɑ n tɕ i	sino
p ɑ n tɕʰ ɑ n	sino
p ɑ n h ɑ	sino
p ɑ n h ɑ ŋ	sino
p ɑ n h wa n	sino
p ɑ t tɕʰ i m	native
p ɑ l	native
p ɑ l k ɑ k	sino
p ɑ l k ɑ n	sino
p ɑ l k jʌ n	sino
p ɑ l k u l	sino
p ɑ l k ɯ p	sino
p ɑ l k i	sino
p ɑ l t ɑ n	sino
p ɑ l t ɑ l	sino
p ɑ l t o ŋ	sino
p ɑ l l ɛ	loan
p ɑ l l jʌ ŋ	sino
p ɑ l m ɛ	sino
p ɑ l m jʌ ŋ	sino
p ɑ l p ɑ l	sino
p ɑ l p jʌ ŋ	sino
p ɑ l p u	sino
p ɑ l s ɑ	sino
p ɑ l s ɑ n	sino
p ɑ l s ɑ ŋ	sino
p ɑ l s ɛ ŋ	sino
p ɑ l s o ŋ	sino
p ɑ l ʌ n	sino
p ɑ l ju k	sino
p ɑ l ɯ m	sino
p ɑ l tɕ ɑ k	sino
p ɑ l tɕ ʌ n	sino
p ɑ l tɕ o k	sino
p ɑ l tɕ u	sino
p ɑ l tʰ ɑ k	sino
p ɑ l pʰ jo	sino
p ɑ l h ɛ	sino
p ɑ l h ɛ ŋ	sino
p ɑ l h jʌ n	sino
p ɑ l h jo	sino
p ɑ l h wi	sino
p ɑ m	native
p ɑ p	native
p ɑ ŋ	sino
p ɑ ŋ k wa ŋ	sino
p ɑ ŋ k wi	native
p ɑ ŋ k ɯ m	sino
p ɑ ŋ t ɛ	sino
p ɑ ŋ t o	sino
p ɑ ŋ l ɑ ŋ	sino
p ɑ ŋ m ɑ ŋ i	native
p ɑ ŋ m jʌ n	sino
p ɑ ŋ m u n	sino
p ɑ ŋ p ʌ p	sino
p ɑ ŋ p u k	sino
p ɑ ŋ p i	sino
p ɑ ŋ s ɑ	sino
p ɑ ŋ s o ŋ	sino
p ɑ ŋ s i k	sino
p ɑ ŋ ɑ n	sino
p ɑ ŋ ʌ	sino
p ɑ ŋ ʌ n	sino
p ɑ ŋ jʌ ŋ	sino
p ɑ ŋ u l	native
p ɑ ŋ wi	sino
p ɑ ŋ tɕ i	sino
p ɑ ŋ tɕʰ u l	sino
p ɑ ŋ tɕʰ i m	sino
p ɑ ŋ pʰ ɛ	sino
p ɑ ŋ pʰ jʌ n	sino
p ɑ ŋ h ɑ k	sino
p ɑ ŋ h ɑ n	sino
p ɑ ŋ h ɛ	sino
p ɑ ŋ h ja ŋ	sino
p ɑ ŋ h wa	sino
p ɑ ŋ h wa ŋ	sino
p ɛ k jʌ k	sino
p ɛ k jʌ ŋ	sino
p ɛ k o pʰ ɯ m	native
p ɛ k ɯ p	sino
p ɛ n ɑ ŋ	sino
p ɛ t ɑ ŋ	sino
p ɛ l jʌ	sino
p ɛ p ɑ n	sino
p ɛ p u n	sino
p ɛ s ɑ ŋ	sino
p ɛ s ʌ l	sino
p ɛ s i n	sino
p ɛ ɑ	sino
p ɛ jʌ k	sino
p ɛ jʌ l	sino
p ɛ u	sino
p ɛ u ŋ	native
p ɛ tɕ ʌ ŋ	sino
p ɛ tɕ ɛ	sino
p ɛ tɕ* ɑ ŋ	native
p ɛ tɕʰ ʌ k	sino
p ɛ tɕʰ u	native
p ɛ tɕʰ u l	sino
p ɛ tɕʰ i	sino
p ɛ tʰ ɑ	sino
p ɛ pʰ o	sino
p ɛ h ɑ p	sino
p ɛ h wɛ	sino
p ɛ h u	sino
p ɛ k p ɑ l	sino
p ɛ k p ʌ m	sino
p ɛ k s ɛ k	sino
p ɛ k s ʌ ŋ	sino
p ɛ k s i n	loan
p ɛ k i n	sino
p ɛ k tɕ ɛ	sino
p ɛ k tɕ i	sino
p ɛ n t ɯ	loan
p ɛ m	native
p ʌ s ʌ n	native
p ʌ s ʌ s	native
p ʌ s ɯ	loan
p ʌ tʰ ʌ	loan
p ʌ tʰ ɯ n	loan
p ʌ n k ɑ l	sino
p ʌ n k ʌ	sino
p ʌ n m i n	sino
p ʌ n p o k	sino
p ʌ n s ʌ ŋ	sino
p ʌ n s i k	mix
p ʌ n jʌ k	sino
p ʌ n jʌ ŋ	sino
p ʌ n tɕʰ ɑ ŋ	sino
p ʌ n h o	sino
p ʌ l k ɯ m	sino
p ʌ m l ɑ m	sino
p ʌ m p ʌ k	native
p ʌ m s u	sino
p ʌ m wi	sino
p ʌ m i n	sino
p ʌ m tɕ wɛ	sino
p ʌ m tɕ u	sino
p ʌ m h ɛ ŋ	sino
p ʌ p	sino
p ʌ p k wa n	sino
p ʌ p k ju	sino
p ʌ p t ɑ ŋ	sino
p ʌ p t ɛ	sino
p ʌ p l jʌ ŋ	sino
p ʌ p l ju l	sino
p ʌ p m u	sino
p ʌ p ɑ n	sino
p ʌ p wʌ n	sino
p ʌ p i n	sino
p ʌ p tɕ ʌ ŋ	sino
p ʌ p tɕ ɛ	sino
p ʌ p tɕ o	sino
p ʌ p tɕʰ i k	sino
p ʌ p h ɑ k	sino
p ʌ s	native
p ʌ ŋ ʌ l i	native
p ɛ l ɑ n t ɑ	loan
p ɛ i kʰ ʌ n	loan
p ɛ i l	loan
p ɛ n tɕʰ i	loan
p ɛ l tʰ ɯ	loan
p jʌ	native
p jʌ l ɑ ŋ	native
p jʌ k	sino
p jʌ k m jʌ n	sino
p jʌ k h wa	sino
p jʌ n	sino
p jʌ n k jʌ ŋ	sino
p jʌ n t ʌ k	sino
p jʌ n t o ŋ	sino
p jʌ n l o n	sino
p jʌ n m jʌ ŋ	sino
p jʌ n m o	sino
p jʌ n p i	sino
p jʌ n s o	sino
p jʌ n s u	sino
p jʌ n s i n	sino
p jʌ n tɕ i l	sino
p jʌ n tɕʰ ʌ n	sino
p jʌ n tɕʰ i k	sino
p jʌ n tʰ ɛ	sino
p jʌ n h ɑ	sino
p jʌ n h jʌ k	sino
p jʌ n h jʌ ŋ	sino
p jʌ n h o	sino
p jʌ n h wa	sino
p jʌ n h wa n	sino
p jʌ l	native
p jʌ l k ɛ	sino
p jʌ l t o	sino
p jʌ l l o	sino
p jʌ l m jʌ ŋ	sino
p jʌ l tɕ ɑ ŋ	sino
p jʌ ŋ	sino
p jʌ ŋ l jʌ k	sino
p jʌ ŋ m o	sino
p jʌ ŋ p jʌ n	sino
p jʌ ŋ s ɑ	sino
p jʌ ŋ s ɑ ŋ	sino
p jʌ ŋ s u	sino
p jʌ ŋ s i n	sino
p jʌ ŋ ɑ l i	native
p jʌ ŋ jʌ k	sino
p jʌ ŋ wʌ n	sino
p jʌ ŋ tɕ ɑ ŋ	sino
p jʌ ŋ pʰ jɛ	sino
p jʌ ŋ h ɛ ŋ	sino
p jʌ tʰ	native
p o k ɑ ŋ	sino
p o k ʌ n	sino
p o k o	sino
p o k wa n	sino
p o k wʌ l	sino
p o k ɯ p	sino
p o n ʌ s ɯ	loan
p o t ɑ p	sino
p o t o	sino
p o l ɑ m	native
p o l ju	sino
p o l ɯ m	native
p o l i	native
p o p o k	sino
p o s ɑ l	sino
p o s ɑ ŋ	sino
p o s u	sino
p o ɑ n	sino
p o wa n	sino
p o ju	sino
p o ju k	sino
p o i l l ʌ	loan
p o tɕ ɑ k i	mix
p o tɕ ɑ ŋ	sino
p o tɕ ʌ n	sino
p o tɕ o	sino
p o tɕ o n	sino
p o tɕ wa	sino
p o tɕ ɯ ŋ	sino
p o tɕʰ u ŋ	sino
p o tʰ ɛ	sino
p o tʰ o ŋ	sino
p o tʰ ɯ	loan
p o h ɛ ŋ	sino
p o h ʌ m	sino
p o h o	sino
p o k	sino
p o k k u	sino
p o k k wʌ n	sino
p o k k wi	sino
p o k t o	sino
p o k m u	sino
p o k p u	sino
p o k s ɑ	sino
p o k s u	sino
p o k s u ŋ ɑ	native
p o k s i k	sino
p o k jo ŋ	sino
p o k wʌ n	sino
p o k ɯ m	sino
p o k tɕ ɑ ŋ	sino
p o k tɕ ɛ	sino
p o k tɕ o ŋ	sino
p o k tɕ i	sino
p o k tɕ i k	sino
p o k pʰ ɑ n	native
p o k h ɑ k	sino
p o k h ɑ p	sino
p o n k jʌ k	sino
p o n k wa n	sino
p o n k jo	sino
p o n k u k	sino
p o n n ɯ ŋ	sino
p o n t ɑ ŋ	sino
p o n l ɛ	sino
p o n l o n	sino
p o n m jʌ ŋ	sino
p o n m u n	sino
p o n p u	sino
p o n s ɑ	sino
p o n s ʌ n	sino
p o n s ʌ ŋ	sino
p o n jʌ n	sino
p o n ɰi	sino
p o n i n	sino
p o n tɕ ʌ m	sino
p o n tɕ i l	sino
p o l	native
p o m	native
p o ŋ k ʌ n	sino
p o ŋ k ɯ p	sino
p o ŋ k i	sino
p o ŋ s ɑ	sino
p o ŋ u l i	native
p o ŋ tɕ i	sino
p u	sino
p u k ɑ	sino
p u k ɑ k	sino
p u k jʌ l	sino
p u k jɛ	sino
p u k wa	sino
p u k ɯ n	sino
p u k* ɯ l ʌ u m	native
p u t ɑ m	sino
p u t ɑ ŋ	sino
p u t o	sino
p u t u	sino
p u l ɑ k	sino
p u l ju	sino
p u l ɯ tɕ u ɑ	loan
p u l i	native
p u m o	sino
p u m u n	sino
p u p u	sino
p u p u n	sino
p u s ɑ	sino
p u s ɑ n	native
p u s ɑ ŋ	sino
p u s ʌ l	sino
p u s o k	sino
p u s u	sino
p u s ɯ	loan
p u s ɯ l ʌ k i	native
p u s i	sino
p u s i l	sino
p u ja ŋ	sino
p u ʌ kʰ	native
p u jʌ	sino
p u wi	sino
p u ju	sino
p u ɯ ŋ	sino
p u i n	sino
p u i m	sino
p u tɕ ɑ	sino
p u tɕ ɑ ŋ	sino
p u tɕ ɛ	sino
p u tɕ ʌ k	sino
p u tɕ o k	sino
p u tɕ i l ʌ n	native
p u tɕ i n	sino
p u tɕʰ ɑ	sino
p u tɕʰ ɑ k	sino
p u tɕʰ ʌ	sino
p u tɕʰ ʌ n	sino
p u tɕʰ u k	native
p u tɕʰ i n	sino
p u tʰ ɑ k	sino
p u pʰ ɛ	sino
p u pʰ u l	native
p u pʰ u m	sino
p u pʰ i	native
p u h ɑ p	sino
p u h o	sino
p u h wa l	sino
p u h ɯ ŋ	sino
p u k k jʌ ŋ	sino
p u k p ɑ ŋ	sino
p u k p u	sino
p u k tɕʰ ɯ k	sino
p u k h ɑ n	sino
p u n	sino
p u n k ɑ	sino
p u n k ɑ n	sino
p u n k ɛ	sino
p u n k wa	sino
p u n k wʌ n	sino
p u n k ju	sino
p u n k i	sino
p u n n o	sino
p u n t ɑ n	sino
p u n t ɑ m	sino
p u n t ɑ ŋ	sino
p u n l ja ŋ	sino
p u n l ju	sino
p u n l i	sino
p u n m ɑ n	sino
p u n m jʌ ŋ	sino
p u n p ɛ	sino
p u n p jʌ l	sino
p u n p u n	sino
p u n p i	sino
p u n s ɑ n	sino
p u n s ʌ k	sino
p u n s wɛ	sino
p u n s u	sino
p u n ja	sino
p u n ja ŋ	sino
p u n ʌ p	sino
p u n jʌ l	sino
p u n wi k i	sino
p u n ju	sino
p u n tɕ ɑ	sino
p u n tɕ ɑ ŋ	sino
p u n tɕ ɛ ŋ	sino
p u n tɕ u	sino
p u n tɕʰ u l	sino
p u n tʰ o ŋ	sino
p u n pʰ o	sino
p u n h ɑ l	sino
p u n h ɛ	sino
p u n h wa	sino
p u l	native
p u l k ɑ	sino
p u l k ɑ s ɑ ɰi	sino
p u l k jʌ l	sino
p u l k wa	sino
p u l k jo	sino
p u l k u	sino
p u l n ɯ ŋ	sino
p u l l ja ŋ	sino
p u l l ju n	sino
p u l l i	sino
p u l m ɑ n	sino
p u l m jʌ ŋ	sino
p u l m u n	sino
p u l p ʌ p	sino
p u l p jʌ n	sino
p u l s ɑ ŋ	sino
p u l s i n	sino
p u l ɑ n	sino
p u l ʌ	sino
p u l u	sino
p u l ɰi	sino
p u l i m	sino
p u l tɕʰ ɑ m	sino
p u l kʰ wɛ	sino
p u l tʰ ɑ	sino
p u l pʰ jʌ n	sino
p u l pʰ jʌ ŋ	sino
p u l h ɛ ŋ	sino
p u l h ʌ	sino
p u l h wa	sino
p u l h wa ŋ	sino
p u m	loan
p u s	native
p u ŋ k wɛ	sino
p u ŋ t ɛ	sino
p u ŋ ʌ	native
p u tʰ i	native
p ɯ l ɛ n t ɯ	loan
p ɯ l ɛ i kʰ ɯ	loan
p ɯ l o kʰ ʌ	loan
p ɯ l i pʰ i ŋ	loan
p ɯ l l ɑ u s ɯ	loan
p ɯ l l o k	loan
p i k jʌ l	sino
p i k wa n	sino
p i k jo	sino
p i k u l	sino
p i k ɯ k	sino
p i k i	sino
p i n ɑ n	sino
p i n u	native
p i n i l	loan
p i t ɑ n	sino
p i t ɛ	sino
p i t u l k i	native
p i t i o	loan
p i l jɛ	sino
p i l jo	sino
p i m ɑ n	sino
p i m jʌ ŋ	sino
p i m i l	sino
p i p ɑ ŋ	sino
p i p ʌ p	sino
p i s ɑ ŋ	sino
p i s ʌ	sino
p i s ʌ k	sino
p i ɛ	sino
p i ja k	sino
p i jo ŋ	sino
p i u	native
p i u s	native
p i wi	sino
p i ju	sino
p i ju l	sino
p i tɕ ɑ ŋ	sino
p i tɕ u n	sino
p i tɕ u ŋ	sino
p i tɕ ɯ n i s ɯ	loan
p i tɕʰ ɑ m	sino
p i tɕʰ u	sino
p i tɕʰ u k	sino
p i tɕʰ i	sino
p i tʰ ɑ m i n	loan
p i pʰ ɑ n	sino
p i pʰ jʌ ŋ	sino
p i h ɑ	sino
p i h ɛ ŋ	sino
p i h o	sino
p i n	sino
p i n k o n	sino
p i n m i n	sino
p i n p ʌ n	sino
p i n p u	sino
p i n ja k	sino
p i n h jʌ l	sino
p i l t i ŋ	loan
p i l m i	native
p i s	native
p i ŋ tɕ ɑ	sino
p i tɕ	native
p i tɕʰ	native
p* ɑ l k ɑ ŋ	native
p* ɑ l k ɛ ŋ i	native
p* ɑ l l ɛ	native
p* ɑ l tɕʰ i s ɑ n	loan
p* ɑ ŋ	native
p* ja m	native
p* ʌ k* u k i	native
p* jʌ	native
p* jʌ m	native
p* u l i	native
p* u l	native
s i o s	native
s ɑ	sino
s ɑ k ɑ k	sino
s ɑ k ʌ n	sino
s ɑ k jʌ k	sino
s ɑ k o	sino
s ɑ k wa	sino
s ɑ k wa n	sino
s ɑ k jo	sino
s ɑ k wi	sino
s ɑ k i	sino
s ɑ n ɑ i	native
s ɑ n ja ŋ	native
s ɑ t ɑ n	sino
s ɑ t ɑ m	sino
s ɑ t ɛ	sino
s ɑ t o n	sino
s ɑ t* o	sino
s ɑ l ɑ tɕ i	native
s ɑ l ɑ m	native
s ɑ l ɑ ŋ	native
s ɑ l jɛ	sino
s ɑ l jo	sino
s ɑ l i p	sino
s ɑ m ɑ k	sino
s ɑ m ɑ ŋ	sino
s ɑ m jʌ n	sino
s ɑ m jʌ ŋ	sino
s ɑ m o	sino
s ɑ m o k	sino
s ɑ m u	sino
s ɑ m u l	sino
s ɑ p ɑ l	sino
s ɑ p ɑ ŋ	sino
s ɑ p ʌ m	sino
s ɑ p ʌ p	sino
s ɑ p jʌ ŋ	sino
s ɑ p o k	sino
s ɑ s ɑ l	sino
s ɑ s ɑ ŋ	sino
s ɑ s ɛ k	sino
s ɑ s ʌ l	sino
s ɑ s o	sino
s ɑ s ɯ l	native
s ɑ s ɯ m	native
s ɑ s i n	sino
s ɑ s i l	sino
s ɑ ɑ k	sino
s ɑ ɑ n	sino
s ɑ ʌ p	sino
s ɑ jʌ n	sino
s ɑ jo ŋ	sino
s ɑ wʌ n	sino
s ɑ wi	native
s ɑ ju	sino
s ɑ ju k	sino
s ɑ i	native
s ɑ i p i	sino
s ɑ i tʰ ɯ	loan
s ɑ i n	loan
s ɑ i m	sino
s ɑ tɕ ɑ	sino
s ɑ tɕ ɑ ŋ	sino
s ɑ tɕ ʌ n	sino
s ɑ tɕ ʌ l	sino
s ɑ tɕ ʌ ŋ	sino
s ɑ tɕ ɛ	sino
s ɑ tɕ o	sino
s ɑ tɕ o k	sino
s ɑ tɕ wɛ	sino
s ɑ tɕ u	sino
s ɑ tɕ i	sino
s ɑ tɕʰ ɑ l	sino
s ɑ tɕʰ ɛ	sino
s ɑ tɕʰ ɛ	sino
s ɑ tɕʰ o n	sino
s ɑ tʰ ɑ k u n i	native
s ɑ tʰ ɑ ŋ	sino
s ɑ tʰ ɛ	sino
s ɑ tʰ wɛ	sino
s ɑ tʰ u l i	native
s ɑ pʰ jo	sino
s ɑ h ɑ k	sino
s ɑ h ɑ ŋ	sino
s ɑ h jʌ ŋ	sino
s ɑ h wɛ	sino
s ɑ h u	sino
s ɑ h ɯ l	native
s ɑ k k ɑ m	sino
s ɑ k m ɑ k	sino
s ɑ k tɕ ɛ	sino
s ɑ n	sino
s ɑ n k ɑ n	sino
s ɑ n l i m	sino
s ɑ n m ɑ n	sino
s ɑ n m ɛ k	sino
s ɑ n m o	sino
s ɑ n m u n	sino
s ɑ n m u l	sino
s ɑ n s o	sino
s ɑ n s u	sino
s ɑ n ɑ k	sino
s ɑ n ʌ p	sino
s ɑ n tɕ ɛ	sino
s ɑ n tɕ ʌ ŋ	sino
s ɑ n tɕ i	sino
s ɑ n tɕʰ ɛ k	sino
s ɑ n tɕʰ ʌ n	sino
s ɑ n tɕʰ u l	sino
s ɑ n h ɑ	sino
s ɑ n h ɛ ŋ	sino
s ɑ l	native
s ɑ l k ju n	sino
s ɑ l l i m	native
s ɑ l p ʌ l	sino
s ɑ l s ɑ ŋ	sino
s ɑ l i n	sino
s ɑ l tɕ* i	native
s ɑ l pʰ o	sino
s ɑ l pʰ i	native
s ɑ l h ɛ	sino
s ɑ l m	native
s ɑ m k ɑ	sino
s ɑ m k ɑ k	sino
s ɑ m k u k	sino
s ɑ m s ʌ ŋ	sino
s ɑ m tɕʰ o n	sino
s ɑ m pʰ o	sino
s ɑ p i p	sino
s ɑ p h wa	sino
s ɑ ŋ	sino
s ɑ ŋ k ɑ	sino
s ɑ ŋ k jʌ ŋ	sino
s ɑ ŋ k o	sino
s ɑ ŋ k o ŋ	sino
s ɑ ŋ k wa n	sino
s ɑ ŋ k u	sino
s ɑ ŋ k ɯ m	sino
s ɑ ŋ k ɯ p	sino
s ɑ ŋ k i	sino
s ɑ ŋ n jʌ m	sino
s ɑ ŋ t ɑ m	sino
s ɑ ŋ t ɑ ŋ	sino
s ɑ ŋ t ɛ	sino
s ɑ ŋ t ʌ k	sino
s ɑ ŋ l jɛ	sino
s ɑ ŋ l ju	sino
s ɑ ŋ l ju k	sino
s ɑ ŋ m o	sino
s ɑ ŋ m u	sino
s ɑ ŋ p ɑ n	sino
s ɑ ŋ p o k	sino
s ɑ ŋ p o ŋ	sino
s ɑ ŋ p u	sino
s ɑ ŋ s ɑ	sino
s ɑ ŋ s ɑ ŋ	sino
s ɑ ŋ s ʌ l	sino
s ɑ ŋ s ɛ	sino
s ɑ ŋ s o	sino
s ɑ ŋ s o k	sino
s ɑ ŋ s ɯ p	sino
s ɑ ŋ s ɯ ŋ	sino
s ɑ ŋ s i k	sino
s ɑ ŋ s i l	sino
s ɑ ŋ ʌ p	sino
s ɑ ŋ jʌ	sino
s ɑ ŋ jʌ ŋ	sino
s ɑ ŋ o	sino
s ɑ ŋ jo ŋ	sino
s ɑ ŋ wʌ n	sino
s ɑ ŋ wi	sino
s ɑ ŋ ɯ ŋ	sino
s ɑ ŋ ɰi	sino
s ɑ ŋ i	sino
s ɑ ŋ i n	sino
s ɑ ŋ i m	sino
s ɑ ŋ tɕ ɑ ŋ	sino
s ɑ ŋ tɕ ʌ n	sino
s ɑ ŋ tɕ ʌ m	sino
s ɑ ŋ tɕ ʌ ŋ	sino
s ɑ ŋ tɕ u	sino
s ɑ ŋ tɕ i ŋ	sino
s ɑ ŋ tɕʰ ʌ	sino
s ɑ ŋ tɕʰ ɛ	sino
s ɑ ŋ tɕʰ u	native
s ɑ ŋ tɕʰ u ŋ	sino
s ɑ ŋ tɕʰ ɯ ŋ	sino
s ɑ ŋ tʰ ɛ	sino
s ɑ ŋ pʰ jo	sino
s ɑ ŋ pʰ u m	sino
s ɑ ŋ h ɑ	sino
s ɑ ŋ h ɑ n	sino
s ɑ ŋ h ɛ	sino
s ɑ ŋ h ja ŋ	sino
s ɑ ŋ h o	sino
s ɑ ŋ h wa n	sino
s ɑ ŋ h wa ŋ	sino
s ɛ	native
s ɛ k* i	native
s ɛ p jʌ k	native
s ɛ u	native
s ɛ k	sino
s ɛ k s ɑ ŋ	sino
s ɛ k s i	native
s ɛ k tɕ o	sino
s ɛ k tɕʰ ɛ	sino
s ɛ n t ɯ wi tɕʰ i	loan
s ɛ l l ʌ t ɯ	loan
s ɛ m	native
s ɛ ŋ	sino
s ɛ ŋ k ɑ k	native
s ɛ ŋ k ɑ ŋ	sino
s ɛ ŋ k i	sino
s ɛ ŋ t o ŋ	sino
s ɛ ŋ l ja k	sino
s ɛ ŋ l i	sino
s ɛ ŋ m jʌ ŋ	sino
s ɛ ŋ s ɑ	sino
s ɛ ŋ s ɑ n	sino
s ɛ ŋ s ʌ n	sino
s ɛ ŋ s ʌ ŋ	sino
s ɛ ŋ s o	sino
s ɛ ŋ s u	sino
s ɛ ŋ s i k	sino
s ɛ ŋ ɛ	sino
s ɛ ŋ ʌ p	sino
s ɛ ŋ wʌ n	sino
s ɛ ŋ i l	sino
s ɛ ŋ tɕ ʌ n	sino
s ɛ ŋ tɕ o n	sino
s ɛ ŋ tɕʰ ɛ	sino
s ɛ ŋ tʰ ɛ	sino
s ɛ ŋ h wa l	sino
s ɛ ŋ h u	sino
s ja wʌ	loan
s ja m pʰ ɛ i n	loan
s ja m pʰ u	loan
s ja s	loan
s ʌ k jɛ	sino
s ʌ k u	sino
s ʌ k i	sino
s ʌ t ɑ ŋ	sino
s ʌ t o k	sino
s ʌ l ɑ p	native
s ʌ l o n	sino
s ʌ l ju	sino
s ʌ l i	native
s ʌ m jʌ n	sino
s ʌ m jʌ ŋ	sino
s ʌ m u n	sino
s ʌ m i n	sino
s ʌ p ɑ ŋ	sino
s ʌ p u	sino
s ʌ p i s ɯ	loan
s ʌ s ɑ	sino
s ʌ s u l	sino
s ʌ s ɯ l	native
s ʌ s i k	sino
s ʌ s i n	sino
s ʌ ja ŋ	sino
s ʌ jʌ n	sino
s ʌ jʌ l	sino
s ʌ jɛ	sino
s ʌ u n	sino
s ʌ u l	sino
s ʌ wʌ n	sino
s ʌ tɕ ɑ ŋ	sino
s ʌ tɕ ɛ	sino
s ʌ tɕ ʌ k	sino
s ʌ tɕ ʌ m	sino
s ʌ tɕ ʌ ŋ	sino
s ʌ kʰ ɯ l	loan
s ʌ h ɑ n	sino
s ʌ h ɛ	sino
s ʌ k	sino
s ʌ k k o	sino
s ʌ k k i	sino
s ʌ k p ɑ ŋ	sino
s ʌ k s ɑ	sino
s ʌ k jʌ n	sino
s ʌ k ju	sino
s ʌ k tʰ ɑ n	sino
s ʌ k tʰ ɑ p	sino
s ʌ k h wɛ	sino
s ʌ k h u n	sino
s ʌ n	sino
s ʌ n k ʌ	sino
s ʌ n k jʌ ŋ	sino
s ʌ n k o	sino
s ʌ n k wa n wi	sino
s ʌ n k jo	sino
s ʌ n n jʌ	sino
s ʌ n t o	sino
s ʌ n t o ŋ	sino
s ʌ n t u	sino
s ʌ n l ja ŋ	sino
s ʌ n m ɑ ŋ	sino
s ʌ n m jʌ ŋ	sino
s ʌ n m u l	sino
s ʌ n p ɑ k	sino
s ʌ n p ɑ n	native
s ʌ n p ɑ l	sino
s ʌ n p ɛ	sino
s ʌ n p jʌ l	sino
s ʌ n s ɑ	sino
s ʌ n s ɛ ŋ	sino
s ʌ n s u	sino
s ʌ n s i m	sino
s ʌ n ɑ k	sino
s ʌ n ʌ n	sino
s ʌ n u	sino
s ʌ n wʌ n	sino
s ʌ n ju l	sino
s ʌ n ɰi	sino
s ʌ n i m	sino
s ʌ n tɕ ɑ ŋ	sino
s ʌ n tɕ ʌ n	sino
s ʌ n tɕ ʌ ŋ	sino
s ʌ n tɕ o	sino
s ʌ n tɕ o ŋ	sino
s ʌ n tɕ u	sino
s ʌ n tɕ i n	sino
s ʌ n tɕʰ ɑ ŋ	sino
s ʌ n tɕʰ ʌ n	sino
s ʌ n tɕʰ u l	sino
s ʌ n tʰ ɛ k	sino
s ʌ n pʰ u ŋ	sino
s ʌ n h ɛ ŋ	sino
s ʌ n h o	sino
s ʌ n h wɛ	sino
s ʌ l k ʌ tɕ i	native
s ʌ l k jɛ	sino
s ʌ l k jo	sino
s ʌ l t ɯ k	sino
s ʌ l l ɛ	native
s ʌ l l jʌ ŋ	sino
s ʌ l l i p	sino
s ʌ l m ɑ	sino
s ʌ l m jʌ ŋ	sino
s ʌ l m u n	sino
s ʌ l p i	sino
s ʌ l s ɑ	sino
s ʌ l u m	native
s ʌ l tɕ ʌ ŋ	sino
s ʌ l tʰ ɑ ŋ	sino
s ʌ l h wa	sino
s ʌ m k i	sino
s ʌ m ju	sino
s ʌ p l i	sino
s ʌ p s* i	sino
s ʌ p tɕʰ wi	sino
s ʌ ŋ	sino
s ʌ ŋ k jʌ k	sino
s ʌ ŋ k jʌ ŋ	sino
